order_id,order_date,category,region,month,sales,quantity,customer_name
1,2026-06-04,Electronics,East,Feb,1233.8293749999998,8.956521739130435,Kim
2,2026-04-02,Electronics,North,Feb,1233.8293749999998,8.956521739130435,Unknown
3,2026-06-23,Toys,South,Apr,1233.8293749999998,6.0,Priya
4,2026-03-05,Clothing,East,Jan,1233.8293749999998,12.0,Kim
5,2026-03-26,Electronics,West,May,462.0,3.0,Unknown
6,2026-05-28,Food,South,Jun,1233.8293749999998,8.956521739130435,Sam
7,2026-01-13,Food,West,Jun,1233.8293749999998,12.0,Sam
8,2026-06-09,Electronics,South,May,1233.8293749999998,15.0,Priya
9,2026-06-23,Clothing,East,Jan,1233.8293749999998,11.0,Priya
10,2026-01-07,Food,South,Jun,1547.77,5.0,Sam
11,2026-02-24,Food,West,May,1233.8293749999998,5.0,Alex
12,2026-01-28,Electronics,South,Jun,563.95,8.956521739130435,Jordan
13,2026-04-20,Toys,East,May,1233.8293749999998,4.0,Unknown
14,2026-03-04,Food,West,Feb,1415.8,8.956521739130435,Kim
15,2026-01-28,Food,South,Feb,1233.8293749999998,8.956521739130435,Kim
16,2026-03-16,Electronics,North,Mar,2648.29,8.956521739130435,Sam
17,2026-05-03,Electronics,West,Jan,1233.8293749999998,5.0,Kim
18,2026-02-09,Toys,South,May,1233.8293749999998,10.0,Unknown
19,2026-06-12,Toys,West,Jan,1233.8293749999998,8.956521739130435,Kim
20,2026-05-08,Clothing,North,Jan,1233.8293749999998,8.956521739130435,Alex
21,2026-03-03,Clothing,East,Jun,1233.8293749999998,19.0,Sam
22,2026-04-26,Toys,South,Jan,381.1,12.0,Jordan
23,2026-04-28,Electronics,North,Jan,1267.6,8.956521739130435,Sam
24,2026-02-18,Toys,South,Apr,632.12,8.956521739130435,Jordan
25,2026-05-04,Electronics,North,Jan,1233.8293749999998,6.0,Jordan
26,2026-04-07,Toys,North,Feb,1199.02,9.0,Priya
27,2026-04-23,Toys,South,Feb,1233.8293749999998,8.956521739130435,Unknown
28,2026-03-02,Electronics,West,May,1233.8293749999998,8.956521739130435,Sam
29,2026-01-20,Electronics,South,Apr,1233.8293749999998,8.956521739130435,Kim
30,2026-01-14,Food,East,Feb,2042.21,8.0,Jordan
31,2026-02-22,Food,West,Mar,1233.8293749999998,1.0,Kim
32,2026-05-04,Electronics,South,May,869.08,8.956521739130435,Priya
33,2026-03-06,Toys,East,May,1233.8293749999998,18.0,Unknown
34,2026-01-05,Food,North,Jan,1233.8293749999998,9.0,Kim
35,2026-02-23,Food,South,Jun,1939.29,17.0,Priya
36,2026-01-03,Toys,East,Jan,1233.8293749999998,8.956521739130435,Unknown
37,2026-04-18,Toys,North,Jan,1233.8293749999998,8.956521739130435,Priya
38,2026-05-18,Clothing,West,Feb,221.3,2.0,Sam
39,2026-06-08,Electronics,East,May,2663.99,8.956521739130435,Sam
40,2026-02-26,Clothing,West,Jan,620.15,8.956521739130435,Priya
